"_id"	"notificationEntry"	"titelHashed"	"textLength"	"date"
"477"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"26"	"1457341760554"
"478"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"30"	"1457341760608"
"479"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"42"	"1457341760680"
"480"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"24"	"1457341760752"
"481"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"54"	"1457341760781"
"482"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"42"	"1457341760814"
"483"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"29"	"1457341760847"
"484"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457341760876"
"485"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"26"	"1457341760910"
"486"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"42"	"1457341760942"
"487"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"54"	"1457341760976"
"488"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"21"	"1457341960033"
"489"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"21"	"1457341960184"
"490"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"56"	"1457342845284"
"491"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"56"	"1457342845324"
"492"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"56"	"1457342845361"
"493"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"56"	"1457342845462"
"494"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698097"
"495"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698169"
"496"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698216"
"497"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698252"
"498"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698286"
"499"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698335"
"500"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698362"
"501"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457357698403"
"502"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457363432878"
"503"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457363432934"
"504"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457363432969"
"505"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457363432997"
"506"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457363433225"
"507"	"com.skype.raider"	"e91cc1a2f330c5d95a1d86eb3c876d7beda716ce"	"33"	"1457363461120"
"508"	"com.skype.raider"	"e91cc1a2f330c5d95a1d86eb3c876d7beda716ce"	"33"	"1457363461212"
"509"	"com.skype.raider"	"e91cc1a2f330c5d95a1d86eb3c876d7beda716ce"	"33"	"1457363461240"
"510"	"com.skype.raider"	"e91cc1a2f330c5d95a1d86eb3c876d7beda716ce"	"33"	"1457363461264"
"511"	"com.skype.raider"	"85c13a7a55c182243cf9459096523a651026f354"	"29"	"1457363461293"
"512"	"com.skype.raider"	"e91cc1a2f330c5d95a1d86eb3c876d7beda716ce"	"33"	"1457363461320"
"513"	"com.skype.raider"	"85c13a7a55c182243cf9459096523a651026f354"	"125"	"1457363461339"
"514"	"com.skype.raider"	"85c13a7a55c182243cf9459096523a651026f354"	"39"	"1457363461358"
"515"	"com.skype.raider"	"85c13a7a55c182243cf9459096523a651026f354"	"75"	"1457363461377"
"516"	"com.skype.raider"	"85c13a7a55c182243cf9459096523a651026f354"	"95"	"1457363461395"
"517"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"35"	"1457372921265"
"518"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"35"	"1457372921465"
"519"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"63"	"1457372929378"
"520"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1457372929450"
"521"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"106"	"1457372931905"
"522"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1457372931963"
"523"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"43"	"1457372942273"
"524"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"43"	"1457372942409"
"525"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"46"	"1457373273582"
"526"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"46"	"1457373273676"
